2025-08-29T11:38:08+00:00,192.168.29.191,,192.168.210.132,104.124.54.120,443,17,192.168.29.191,104.124.54.120,9,4055,14,4401
2025-08-29T11:38:11+00:00,192.168.29.191,,192.168.210.132,8.8.8.8,53,17,192.168.29.191,8.8.8.8,,,,
2025-08-29T11:38:11+00:00,192.168.29.191,,192.168.210.132,8.8.8.8,53,17,192.168.29.191,8.8.8.8,,,,
2025-08-29T11:38:11+00:00,192.168.29.191,,192.168.210.132,8.8.4.4,443,17,192.168.29.191,8.8.4.4,,,,
2025-08-29T11:38:11+00:00,192.168.29.191,,192.168.210.132,8.8.8.8,53,17,192.168.29.191,8.8.8.8,,,,
2025-08-29T11:38:11+00:00,192.168.29.191,,192.168.210.132,8.8.8.8,53,17,192.168.29.191,8.8.8.8,,,,
2025-08-29T11:38:11+00:00,192.168.29.191,,192.168.210.132,104.124.54.120,443,17,192.168.29.191,104.124.54.120,,,,
2025-08-29T11:38:14+00:00,192.168.29.191,,192.168.210.132,8.8.8.8,53,17,192.168.29.191,8.8.8.8,1,56,1,132
2025-08-29T11:38:14+00:00,192.168.29.191,,192.168.210.132,8.8.8.8,53,17,192.168.29.191,8.8.8.8,1,56,1,88
2025-08-29T11:38:14+00:00,192.168.29.191,,192.168.210.132,8.8.8.8,53,17,192.168.29.191,8.8.8.8,1,62,1,198
2025-08-29T11:38:14+00:00,192.168.29.191,,192.168.210.132,8.8.8.8,53,17,192.168.29.191,8.8.8.8,1,62,1,169
2025-08-29T11:38:16+00:00,192.168.29.191,,192.168.210.132,40.126.18.32,443,6,192.168.29.191,40.126.18.32,,,,
2025-08-29T11:38:16+00:00,192.168.29.191,,192.168.210.132,13.107.246.68,443,6,192.168.29.191,13.107.246.68,,,,
2025-08-29T11:38:16+00:00,192.168.29.191,,192.168.210.132,13.107.246.68,443,6,192.168.29.191,13.107.246.68,,,,
2025-08-29T11:38:16+00:00,192.168.29.191,,192.168.210.132,20.190.146.36,443,6,192.168.29.191,20.190.146.36,,,,
2025-08-29T11:38:16+00:00,192.168.29.191,,192.168.210.132,20.190.146.33,443,6,192.168.29.191,20.190.146.33,,,,
2025-08-29T11:38:18+00:00,192.168.29.191,,192.168.210.132,20.190.146.36,443,6,192.168.29.191,20.190.146.36,14,5903,12,9673
2025-08-29T11:38:28+00:00,192.168.29.191,,192.168.210.132,142.250.70.68,443,17,192.168.29.191,142.250.70.68,9,6726,12,8140
2025-08-29T11:38:30+00:00,192.168.29.191,,192.168.210.132,142.250.70.68,443,17,192.168.29.191,142.250.70.68,,,,
2025-08-29T11:38:51+00:00,192.168.29.191,,192.168.210.132,8.8.8.8,53,17,192.168.29.191,8.8.8.8,,,,
2025-08-29T11:38:51+00:00,192.168.29.191,,192.168.210.132,40.126.18.33,443,6,192.168.29.191,40.126.18.33,,,,
2025-08-29T11:38:51+00:00,192.168.29.191,,192.168.210.132,40.126.18.33,443,6,192.168.29.191,40.126.18.33,,,,
